id,peso,altura,edad,agua,grasa_corporal,hueso,grasa_visceral,musculo,fecha
1,95.8,1.66,34,48.9,33.2,2.8,16.0,58.9,2021-01-03
2,93.8,1.66,34,49.3,32.6,2.8,16.0,58.2,2021-01-15
3,92.9,1.66,34,49.4,32.5,3.0,16.0,58.0,2021-01-22
4,91.0,1.66,34,49.9,31.8,2.9,15.0,57.3,2021-02-05
5,90.2,1.66,34,50.1,31.5,3.0,15.0,57.1,2021-02-12
6,90.2,1.66,34,50.1,31.5,2.9,15.0,57.0,2021-02-19
7,90.2,1.66,34,50.1,31.6,3.0,15.0,57.1,2021-02-26
8,89.5,1.66,34,50.4,31.2,2.9,15.0,56.7,2021-03-05
9,90.2,1.66,34,50.1,31.5,2.9,15.0,56.9,2021-03-12
10,90.2,1.66,34,50.2,31.4,2.8,15.0,56.9,2021-03-19
11,89.4,1.66,34,50.4,31.2,2.9,15.0,56.7,2021-03-26
12,89.3,1.66,34,50.4,31.1,2.9,15.0,56.6,2021-04-02
13,88.5,1.66,34,50.5,31.0,3.0,15.0,56.5,2021-04-09
14,88.7,1.66,34,50.6,30.9,2.9,15.0,56.4,2021-04-16
15,88.1,1.66,34,50.7,30.8,3.0,15.0,56.3,2021-04-23
16,88.4,1.66,34,50.5,31.0,3.1,15.0,56.5,2021-04-30
17,87.9,1.66,34,50.6,30.9,3.1,15.0,56.3,2021-05-07
18,87.8,1.66,34,50.6,30.9,3.2,15.0,56.4,2021-05-14
